2023-12-08 21:16:40,713 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Julien\Documents\POLYTECH\COURS\S7\MIDDLEWARE\LetsGo_Biking\apache-activemq-5.17.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-12-08 21:16:40,950 | INFO  | PListStore:[C:\Users\Julien\Documents\POLYTECH\COURS\S7\MIDDLEWARE\LetsGo_Biking\apache-activemq-5.17.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-12-08 21:16:41,094 | INFO  | Apache ActiveMQ 5.17.0 (localhost, ID:LEGION-JULIEN-22099-1702066600959-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-12-08 21:16:41,110 | INFO  | Listening for connections at: tcp://LEGION-JULIEN:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-12-08 21:16:41,115 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-12-08 21:16:41,119 | INFO  | Listening for connections at: amqp://LEGION-JULIEN:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-12-08 21:16:41,119 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-12-08 21:16:41,120 | INFO  | Listening for connections at: stomp://LEGION-JULIEN:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-12-08 21:16:41,121 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-12-08 21:16:41,123 | INFO  | Listening for connections at: mqtt://LEGION-JULIEN:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-12-08 21:16:41,123 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-12-08 21:16:41,128 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2023-12-08 21:16:41,174 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2023-12-08 21:16:41,224 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@abff8b7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2023-12-08 21:16:41,302 | INFO  | Listening for connections at ws://LEGION-JULIEN:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-12-08 21:16:41,302 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
